"Original names"	"Glucose"	"Inulin"	"Sucrose"	"Raffinose"	"Melibiose"	"Galactose"	"Lactose"	"Trehalose"	"Maltose"	"Melezitose"	"Methyl-D-glucoside"	"Soluble Starch"	"Cellobiose"	"Salicin"	"L-Sorbose"	"L-Rhamnose"	"D-Xylose"	"L-Arabinose"	"D-Arabinose"	"D-Ribose"	"Methanol"	"Ethanol"	"Glycerol"	"Erythritol"	"Ribitol"	"Galactitol"	"D-Mannitol"	"D-Glucitol"	"myo-Inositol"	"DL-Lactate"	"Succinate"	"Citrate"	"D-Gluconate"	"D-Glucosamine"	"N-Acetyl-D-glucosamine"	"Hexadecane"	"Nitrate"	"Nitrite"	"Vitamin-free"	"2-Keto-D-gluconate"	"5-Keto-D-gluconate"	"Saccharate"	"Xylitol"	"L-Arabinitol"	"Arbutin"	"Propane 1,2 diol"	"Butane 2,3 diol"	"Cadaverine"	"Creatinine"	"L-Lysine"	"Ethylamine"	"50% Glucose"	"10% NaCl/5% glucose"	"Starch formation"	"Urease"	"Gelatin liquefaction"	"0.01% Cycloheximide"	"0.1% Cycloheximide"	"Growth at 19 ℃"	"Growth at 25℃"	"Growth at 30℃"	"Growth at 35℃"	"Growth at 37℃"	"Growth at 40℃"	"Growth at 45℃"	"CoQ (Main component)"	"Mol % G+C (Ave.)"	"DBB"	"OG1179_aa_aligned.fasta"	"OG1179_s1_aa_aligned.fasta"	"OG1179_s1_R_aa_aligned.fasta"	"OG1179_s2_aa_aligned.fasta"
"yHMPu5000041713_Debaryomyces_maramus"	1	"v"	"1"	"1"	"v"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"v"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"v"	"1"	"0"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"9"	"39.1"	"0"	1	1	1	1
"yHMPu5000041693_Debaryomyces_nepalensis"	1	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"v"	"1"	"1"	"1"	"1"	"v"	"0"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"0"	"0"	"9"	"37.799999999999997"	"0"	2	2	2	2
"yHMPu5000041678_Debaryomyces_prosopidis"	1	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"0"	"n"	"37.5"	"0"	5	5	5	5
"yHMPu5000041824_Debaryomyces_subglobosus"	1	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"v"	"v"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"35.4"	"0"	2	2	2	2
"yHMPu5000035667_Kurtzmaniella_cleridarum"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"n"	"n"	"0"	1	1	1	1
"Lodderomyces_elongisporus"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"n"	"0"	"1"	"1"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"39.700000000000003"	"0"	1	1	1	1
"yHMPu5000035662_Meyerozyma_caribbica"	1	"1"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"v"	"v"	"1"	"v"	"1"	"v"	"0"	"1"	"v"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"v"	"1"	"0"	"v"	"1"	"n"	"0"	"n"	"v"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"n"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"49.6"	"0"	3	3	3	3
"Meyerozyma_guilliermondii"	1	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"v"	"v"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"v"	"1"	"1"	"0"	"v"	"1"	"v"	"v"	"1"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"44.5"	"0"	3	3	3	3
"Millerozyma_acaciae"	1	"0"	"0"	"0"	"0"	"1"	"v"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"v"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"v"	"0"	"1"	"1"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"46"	"0"	NA	NA	NA	NA
"yHMPu5000035296_Priceomyces_carsonii"	1	"0"	"1"	"v"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"1"	"v"	"0"	"v"	"0"	"1"	"1"	"0"	"1"	"v"	"1"	"1"	"0"	"v"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"n"	"n"	"9"	"38.5"	"0"	4	4	4	4
"yHMPu5000035297_Priceomyces_castillae"	1	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"39.5"	"0"	NA	NA	NA	NA
"Priceomyces_haplophilus"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"v"	"0"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"40"	"0"	NA	NA	NA	NA
"yHMPu5000034606_Priceomyces_medius"	1	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"v"	"1"	"v"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"9"	"36.1"	"0"	NA	NA	NA	NA
"Scheffersomyces_stipitis"	1	"0"	"1"	"0"	"0"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"v"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"0"	"n"	"0"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"n"	"n"	"9"	"43.1"	"0"	5	5	5	5
"Spathaspora_passalidarum"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"0"	"0"	"0"	"1"	"n"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"n"	"n"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"n"	"0"	"n"	"n"	"0"	2	2	2	2
"yHMPu5000034661_Dipodascus_albidus"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"9"	"37.4"	"0"	NA	NA	NA	NA
"yHMPu5000041822_Dipodascus_geniculatus"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"n"	"42.7"	"0"	NA	NA	NA	NA
"Geotrichum_candidum"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"v"	"0"	"1"	"1"	"0"	"1"	"1"	"v"	"0"	"0"	"n"	"n"	"0"	"n"	"1"	"n"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"v"	"0"	"0"	"n"	"42"	"0"	NA	NA	NA	NA
"yHMPu5000034754_Lipomyces_arxii"	1	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"9"	"47.4"	"0"	11	11	11	9
"yHMPu5000034757_Lipomyces_doorenjongii"	1	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"v"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"v"	"v"	"0"	"0"	"n"	"n"	"0"	"n"	"v"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"v"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"9"	"48"	"0"	NA	NA	NA	NA
"yHMPu5000034758_Lipomyces_japonicus"	1	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"9"	"41.9"	"0"	NA	NA	NA	NA
"yHMPu5000034760_Lipomyces_kononenkoae"	1	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"v"	"v"	"1"	"0"	"v"	"0"	"v"	"0"	"0"	"1"	"v"	"0"	"0"	"v"	"1"	"1"	"0"	"0"	"v"	"v"	"1"	"0"	"n"	"n"	"0"	"n"	"1"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"v"	"0"	"0"	"0"	"9"	"47.7"	"0"	6	6	6	6
"yHMPu5000034761_Lipomyces_lipofer"	1	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"0"	"v"	"v"	"v"	"0"	"0"	"1"	"v"	"1"	"v"	"v"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"n"	"n"	"0"	"n"	"1"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"0"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"10"	"48.2"	"0"	16	16	16	16
"yHMPu5000034748_Lipomyces_oligophaga"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"v"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"v"	"0"	"1"	"0"	"1"	"0"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"8"	"41.7"	"0"	NA	NA	NA	NA
"Lipomyces_starkeyi"	1	"1"	"1"	"1"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"v"	"1"	"v"	"1"	"v"	"1"	"v"	"v"	"v"	"0"	"1"	"v"	"v"	"v"	"v"	"1"	"1"	"v"	"0"	"1"	"1"	"v"	"0"	"n"	"n"	"0"	"n"	"v"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"v"	"n"	"0"	"0"	"9"	"47.5"	"0"	12	12	12	11
"yHMPu5000034742_Lipomyces_suomiensis"	1	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"1"	"n"	"n"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"n"	"0"	"0"	"8"	"45.1"	"0"	NA	NA	NA	NA
"yHMPu5000034654_Aciculoconidium_aculeatum"	1	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"v"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"9"	"55"	"0"	1	1	1	1
"Hyphopichia_burtonii"	1	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"v"	"1"	"1"	"1"	"1"	"v"	"0"	"1"	"v"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"v"	"1"	"1"	"1"	"0"	"n"	"1"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"1"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"n"	"n"	"8"	"36.5"	"0"	1	1	1	1
"yHMPu5000035318_Hyphopichia_heimii"	1	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"v"	"1"	"1"	"1"	"0"	"n"	"1"	"1"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"39.700000000000003"	"0"	2	2	2	2
"yHMPu5000034665_Kodamaea_laetipori"	1	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"n"	"n"	"n"	"0"	"n"	"0"	"1"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"n"	"n"	"n"	"0"	2	2	2	2
"yHMPu5000035677_Kodamaea_ohmeri"	1	"v"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"v"	"1"	"0"	"1"	"v"	"1"	"0"	"v"	"0"	"0"	"v"	"0"	"1"	"1"	"0"	"v"	"0"	"1"	"v"	"0"	"0"	"v"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"v"	"0"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"9"	"43.4"	"0"	2	2	2	2
