"ID"	"Species name"	"original_genome_id"	"old_speceis_names"	"speceis_names_fig2"	"hex"	"id_table S1"	"Major clade"	"clade_order"	"Family"	"Genus"	"CUG usage"	"ratio_hq"	"num_hq"	"select"
"19"	19	"Candida schatavii"	"yHMPu5000034643_candida_schatavii_160519"	"yHMPu5000034643_Candida_schatavii"	"Candida_schatavii"	"#FFd200"	213	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.558455488022882	3124	"No"
"20"	20	"Teunomyces kruisii"	"yHMPu5000035031_candida_kruisii_160519"	"yHMPu5000035031_Candida_kruisii"	"Teunomyces_kruisii"	"#FFd200"	200	"CUG-Ser1"	8	"Debaryomycetaceae"	"Teunomyces"	"Ser"	0.598135772071755	3401	"No"
"21"	21	"Candida fragi"	"yHMPu5000035302_candida_fragi_160928"	"yHMPu5000035302_Candida_fragi"	"Candida_fragi"	"#FFd200"	194	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.594148537134284	3168	"No"
"22"	22	"Debaryomyces hansenii"	"debaryomyces_hansenii"	"Debaryomyces_hansenii"	"Debaryomyces_hansenii"	"#FFd200"	136	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.566510172143975	3258	"No"
"23"	23	"Debaryomyces maramus"	"yHMPu5000041713_debaryomyces_maramus_160928"	"yHMPu5000041713_Debaryomyces_maramus"	"Debaryomyces_maramus"	"#FFd200"	181	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.565739225313693	3111	"No"
"24"	24	"Debaryomyces nepalensis"	"yHMPu5000041693_debaryomyces_nepalensis_160928"	"yHMPu5000041693_Debaryomyces_nepalensis"	"Debaryomyces_nepalensis"	"#FFd200"	182	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.577293369663942	3178	"No"
"25"	25	"Debaryomyces fabryi"	"yHMPu5000041829_debaryomyces_fabryi_160928"	"yHMPu5000041829_Debaryomyces_fabryi"	"Debaryomyces_fabryi"	"#FFd200"	178	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.57573025604039	3193	"No"
"26"	26	"Hyphopichia burtonii"	"hyphopichia_burtonii"	"Hyphopichia_burtonii"	"Hyphopichia_burtonii"	"#FFd200"	137	"CUG-Ser1"	8	"Debaryomycetaceae"	"Hyphopichia"	"Ser"	0.559365203761755	2855	"No"
"27"	27	"Hyphopichia heimii"	"yHMPu5000035318_hyphopichia_heimii_160928"	"yHMPu5000035318_Hyphopichia_heimii"	"Hyphopichia_heimii"	"#FFd200"	193	"CUG-Ser1"	8	"Debaryomycetaceae"	"Hyphopichia"	"Ser"	0.573997944501542	3351	"No"
"28"	28	"Kurtzmaniella cleridarum"	"yHMPu5000035667_kurtzmaniella_cleridarum_160928"	"yHMPu5000035667_Kurtzmaniella_cleridarum"	"Kurtzmaniella_cleridarum"	"#FFd200"	188	"CUG-Ser1"	8	"Debaryomycetaceae"	"Kurtzmaniella"	"Ser"	0.596839397280412	3248	"No"
"29"	29	"Lodderomyces elongisporus"	"lodderomyces_elongisporus"	"Lodderomyces_elongisporus"	"Lodderomyces_elongisporus"	"#FFd200"	138	"CUG-Ser1"	8	"Debaryomycetaceae"	"Lodderomyces"	"Ser"	0.507742045261188	2984	"No"
"30"	30	"Meyerozyma guilliermondii"	"meyerozyma_guilliermondii"	"Meyerozyma_guilliermondii"	"Meyerozyma_guilliermondii"	"#FFd200"	162	"CUG-Ser1"	8	"Debaryomycetaceae"	"Meyerozyma"	"Ser"	0.61535345351428	3038	"No"
"31"	31	"Middelhovenomyces tepae"	"yHMPu5000035665_middelhovenomyces_tepae_160613"	"yHMPu5000035665_Middelhovenomyces_tepae"	"Middelhovenomyces_tepae"	"#FF2800"	32	"Dipodascaceae/Trichomonascaceae"	3	"Saccharomycetales incertae sedis"	"Middelhovenomyces"	"Leu"	0.64423977521074	4127	"No"
"32"	32	"Millerozyma acaciae"	"millerozyma_acaciae"	"Millerozyma_acaciae"	"Millerozyma_acaciae"	"#FFd200"	163	"CUG-Ser1"	8	"Debaryomycetaceae"	"Millerozyma"	"Ser"	0.576970954356846	2781	"No"
"33"	33	"Peterozyma xylosa"	"yHMPu5000034883_peterozyma_xylosa_160519"	"yHMPu5000034883_Peterozyma_xylosa"	"Peterozyma_xylosa"	"#6A3906"	60	"CUG-Ala"	6	"Saccharomycetales incertae sedis"	"Peterozyma"	"Ala"	0.58193135935397	3459	"No"
"34"	34	"Peterozyma toletana"	"yHMPu5000034884_peterozyma_toletana_160519"	"yHMPu5000034884_Peterozyma_toletana"	"Peterozyma_toletana"	"#6A3906"	59	"CUG-Ala"	6	"Saccharomycetales incertae sedis"	"Peterozyma"	"Ala"	0.578711125360693	3610	"No"
"35"	35	"Priceomyces haplophilus"	"priceomyces_haplophilus"	"Priceomyces_haplophilus"	"Priceomyces_haplophilus"	"#FFd200"	164	"CUG-Ser1"	8	"Debaryomycetaceae"	"Priceomyces"	"Ser"	0.591306114158034	2911	"No"
"36"	36	"Priceomyces medius"	"yHMPu5000034606_priceomyces_medius_160519"	"yHMPu5000034606_Priceomyces_medius"	"Priceomyces_medius"	"#FFd200"	215	"CUG-Ser1"	8	"Debaryomycetaceae"	"Priceomyces"	"Ser"	0.583636016058115	3053	"No"
"37"	37	"Priceomyces carsonii"	"yHMPu5000035296_priceomyces_carsonii_160928"	"yHMPu5000035296_Priceomyces_carsonii"	"Priceomyces_carsonii"	"#FFd200"	196	"CUG-Ser1"	8	"Debaryomycetaceae"	"Priceomyces"	"Ser"	0.598967604129583	3365	"No"
"38"	38	"Scheffersomyces lignosus"	"scheffersomyces_lignosus"	"Scheffersomyces_lignosus"	"Scheffersomyces_lignosus"	"#FFd200"	165	"CUG-Ser1"	8	"Debaryomycetaceae"	"Scheffersomyces"	"Ser"	0.565671641791045	3411	"No"
"39"	39	"Scheffersomyces stipitis"	"scheffersomyces_stipitis"	"Scheffersomyces_stipitis"	"Scheffersomyces_stipitis"	"#FFd200"	166	"CUG-Ser1"	8	"Debaryomycetaceae"	"Scheffersomyces"	"Ser"	0.567622259696459	3366	"No"
"40"	40	"Spathaspora passalidarum"	"spathaspora_passalidarum"	"Spathaspora_passalidarum"	"Spathaspora_passalidarum"	"#FFd200"	171	"CUG-Ser1"	8	"Debaryomycetaceae"	"Spathaspora"	"Ser"	0.575719649561952	3220	"No"
"41"	41	"Spathaspora arborariae"	"spathaspora_arborariae"	"Spathaspora_arborariae"	"Spathaspora_arborariae"	"#FFd200"	167	"CUG-Ser1"	8	"Debaryomycetaceae"	"Spathaspora"	"Ser"	0.559304164470216	3183	"No"
"42"	42	"Wickerhamia fluorescens"	"wickerhamia_fluorescens"	"Wickerhamia_fluorescens"	"Wickerhamia_fluorescens"	"#FFd200"	172	"CUG-Ser1"	8	"Debaryomycetaceae"	"Wickerhamia"	"Ser"	0.550887912927248	2885	"No"
"43"	43	"Yamadazyma scolyti"	"yHMPu5000035641_yamadazyma_scolyti_160613"	"yHMPu5000035641_Yamadazyma_scolyti"	"Yamadazyma_scolyti"	"#FFd200"	190	"CUG-Ser1"	8	"Debaryomycetaceae"	"Yamadazyma"	"Ser"	0.592643051771117	3045	"No"
"44"	44	"Yamadazyma philogaea"	"yHMPu5000035640_yamadazyma_philogaea_160519"	"yHMPu5000035640_Yamadazyma_philogaea"	"Yamadazyma_philogaea"	"#FFd200"	191	"CUG-Ser1"	8	"Debaryomycetaceae"	"Yamadazyma"	"Ser"	0.573255082791868	2735	"No"
"45"	45	"Yamadazyma nakazawae"	"yHMPu5000035252_yamadazyma_nakazawae_160928"	"yHMPu5000035252_Yamadazyma_nakazawae"	"Yamadazyma_nakazawae"	"#FFd200"	197	"CUG-Ser1"	8	"Debaryomycetaceae"	"Yamadazyma"	"Ser"	0.573325744640486	3022	"No"
"46"	46	"Aciculoconidium aculeatum"	"yHMPu5000034654_aciculoconidium_aculeatum_160519"	"yHMPu5000034654_Aciculoconidium_aculeatum"	"Aciculoconidium_aculeatum"	"#FFd200"	211	"CUG-Ser1"	8	"Metschnikowiaceae"	"Aciculoconidium"	"Ser"	0.496519391959085	3495	"No"
"47"	47	"Candida intermedia"	"candida_intermedia"	"Candida_intermedia"	"Candida_intermedia"	"#FFd200"	128	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.607449333576776	3327	"No"
"48"	48	"Candida oregonensis"	"yHMPu5000034986_candida_oregonensis_160519"	"yHMPu5000034986_Candida_oregonensis"	"Candida_oregonensis"	"#FFd200"	208	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.616435756310495	3248	"No"
"49"	49	"Candida restingae"	"yHMPu5000034648_candida_restingae_160519"	"yHMPu5000034648_Candida_restingae"	"Candida_restingae"	"#FFd200"	212	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.596547194595609	3179	"No"
"50"	50	"Candida auris"	"candida_auris"	"Candida_auris"	"Candida_auris"	"#FFd200"	124	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.59569099378882	3069	"No"
"51"	51	"Candida fructus"	"yHMPu5000034988_candida_fructus_160519"	"yHMPu5000034988_Candida_fructus"	"Candida_fructus"	"#FFd200"	207	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.616713539574126	3070	"No"
"52"	52	"Danielozyma ontarioensis"	"yHMPu5000034973_danielozyma_ontarioensis_160519"	"yHMPu5000034973_Danielozyma_ontarioensis"	"Danielozyma_ontarioensis"	"#FFd200"	209	"CUG-Ser1"	8	"Metschnikowiaceae"	"Danielozyma"	"Ser"	0.619206598586017	3153	"No"
"53"	53	"Kodamaea laetipori"	"yHMPu5000034665_kodamaea_laetipori_160519"	"yHMPu5000034665_Kodamaea_laetipori"	"Kodamaea_laetipori"	"#FFd200"	210	"CUG-Ser1"	8	"Metschnikowiaceae"	"Kodamaea"	"Ser"	0.579289644822411	3474	"No"
"54"	54	"Kodamaea ohmeri"	"yHMPu5000035677_kodamaea_ohmeri_160519"	"yHMPu5000035677_Kodamaea_ohmeri"	"Kodamaea_ohmeri"	"#FFd200"	187	"CUG-Ser1"	8	"Metschnikowiaceae"	"Kodamaea"	"Ser"	0.590404515522107	3138	"No"
"55"	55	"Metschnikowia bicuspidata var. bicuspidata"	"metschnikowia_bicuspidata"	"Metschnikowia_bicuspidata"	"Metschnikowia_bicuspidata_var._bicuspidata"	"#FFd200"	141	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.549980776624375	2861	"No"
"56"	56	"Metschnikowia hibisci"	"metschnikowia_hibisci"	"Metschnikowia_hibisci"	"Metschnikowia_hibisci"	"#FFd200"	150	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.589070822647465	2986	"No"
"57"	57	"Metschnikowia aberdeeniae"	"metschnikowia_aberdeeniae"	"Metschnikowia_aberdeeniae"	"Metschnikowia_aberdeeniae"	"#FFd200"	139	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.603324915824916	2867	"No"
"58"	58	"Metschnikowia kipukae"	"metschnikowia_kipukae"	"Metschnikowia_kipukae"	"Metschnikowia_kipukae"	"#FFd200"	153	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.582406671961874	2933	"No"
"59"	59	"Metschnikowia shivogae"	"metschnikowia_shivogae"	"Metschnikowia_shivogae"	"Metschnikowia_shivogae"	"#FFd200"	160	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.607907742998353	2952	"No"
"60"	60	"Metschnikowia dekortorum"	"metschnikowia_dekortum"	"Metschnikowia_dekortum"	"Metschnikowia_dekortorum"	"#FFd200"	146	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.547712418300654	2933	"No"
"61"	61	"Metschnikowia drakensbergensis"	"metschnikowia_drakensbergensis"	"Metschnikowia_drakensbergensis"	"Metschnikowia_drakensbergensis"	"#FFd200"	147	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.580337636544191	2922	"No"
"62"	62	"Metschnikowia kamakouana"	"metschnikowia_kamakouana"	"Metschnikowia_kamakouana"	"Metschnikowia_kamakouana"	"#FFd200"	152	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.547997112955612	3037	"Yes"
"63"	63	"Metschnikowia proteae"	"metschnikowia_proteae"	"Metschnikowia_proteae"	"Metschnikowia_proteae"	"#FFd200"	158	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.581630667445028	2989	"No"
"64"	64	"Metschnikowia mauinuiana"	"metschnikowia_mauinuiana"	"Metschnikowia_mauinuiana"	"Metschnikowia_mauinuiana"	"#FFd200"	157	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.513791957460951	3092	"No"
"65"	65	"Metschnikowia matae var. maris"	"metschnikowia_matae_maris"	"Metschnikowia_matae_maris"	"Metschnikowia_matae_var._maris"	"#FFd200"	156	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.437011651816313	3188	"No"
"66"	66	"Metschnikowia bowlesiae"	"metschnikowia_bowlesiae"	"Metschnikowia_bowlesiae"	"Metschnikowia_bowlesiae"	"#FFd200"	143	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.519217451523546	2999	"No"
"67"	67	"Metschnikowia similis"	"metschnikowia_similis"	"Metschnikowia_similis"	"Metschnikowia_similis"	"#FFd200"	161	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.529884032114184	2970	"No"
"68"	68	"Metschnikowia hawaiiensis"	"metschnikowia_hawaiiensis"	"Metschnikowia_hawaiiensis"	"Metschnikowia_hawaiiensis"	"#FFd200"	149	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.496845170684355	3071	"No"
"69"	69	"Candida sojae"	"candida_sojae"	"Candida_sojae"	"Candida_sojae"	"#FFd200"	131	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.576778284129186	2911	"No"
"70"	70	"Spathaspora girioi"	"spathaspora_girioi"	"Spathaspora_girioi"	"Spathaspora_girioi"	"#FFd200"	168	"CUG-Ser1"	8	"Debaryomycetaceae"	"Spathaspora"	"Ser"	0.492886026658679	3291	"No"
"71"	71	"Spathaspora hagerdaliae"	"spathaspora_hagerdaliae"	"Spathaspora_hagerdaliae"	"Spathaspora_hagerdaliae"	"#FFd200"	170	"CUG-Ser1"	8	"Debaryomycetaceae"	"Spathaspora"	"Ser"	0.484470246734398	3338	"No"
"72"	72	"Spathaspora gorwiae"	"spathaspora_gorwiae"	"Spathaspora_gorwiae"	"Spathaspora_gorwiae"	"#FFd200"	169	"CUG-Ser1"	8	"Debaryomycetaceae"	"Spathaspora"	"Ser"	0.495778045838359	3288	"No"
"73"	73	"Metschnikowia ipomoeae"	"metschnikowia_ipomoeae"	"Metschnikowia_ipomoeae"	"Metschnikowia_ipomoeae"	"#FFd200"	151	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.512038258575198	3105	"No"
"74"	74	"Metschnikowia arizonensis"	"metschnikowia_arizonensis"	"Metschnikowia_arizonensis"	"Metschnikowia_arizonensis"	"#FFd200"	140	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.497264957264957	2909	"No"
"75"	75	"Metschnikowia matae var. matae"	"metschnikowia_matae"	"Metschnikowia_matae"	"Metschnikowia_matae_var._matae"	"#FFd200"	155	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.433586731167934	3137	"No"
"76"	76	"Metschnikowia lochheadii"	"metschnikowia_lockheadii"	"Metschnikowia_lockheadii"	"Metschnikowia_lochheadii"	"#FFd200"	154	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.471689634511684	3149	"No"
"77"	77	"Metschnikowia santaceciliae"	"metschnikowia_santaceciliae"	"Metschnikowia_santaceciliae"	"Metschnikowia_santaceciliae"	"#FFd200"	159	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.482400372150721	3111	"No"
"78"	78	"Metschnikowia hamakuensis"	"metschnikowia_hamakuensis"	"Metschnikowia_hamakuensis"	"Metschnikowia_hamakuensis"	"#FFd200"	148	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.488648991903477	3078	"No"
"79"	79	"Metschnikowia continentalis"	"metschnikowia_continentalis"	"Metschnikowia_continentalis"	"Metschnikowia_continentalis"	"#FFd200"	145	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.47524154589372	3148	"No"
"80"	80	"Metschnikowia cerradonensis"	"metschnikowia_cerradonensis"	"Metschnikowia_cerradonensis"	"Metschnikowia_cerradonensis"	"#FFd200"	144	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.467357512953368	3157	"No"
"81"	81	"Metschnikowia borealis"	"metschnikowia_borealis"	"Metschnikowia_borealis"	"Metschnikowia_borealis"	"#FFd200"	142	"CUG-Ser1"	8	"Metschnikowiaceae"	"Metschnikowia"	"Ser"	0.477735271614384	3122	"No"
"82"	82	"Meyerozyma caribbica"	"yHMPu5000035662_meyerozyma_caribbica_160613"	"yHMPu5000035662_Meyerozyma_caribbica"	"Meyerozyma_caribbica"	"#FFd200"	189	"CUG-Ser1"	8	"Debaryomycetaceae"	"Meyerozyma"	"Ser"	0.625934154716219	3099	"No"
"83"	83	"Teunomyces cretensis"	"yHMPu5000035033_candida_cretensis_160519"	"yHMPu5000035033_Candida_cretensis"	"Teunomyces_cretensis"	"#FFd200"	198	"CUG-Ser1"	8	"Debaryomycetaceae"	"Teunomyces"	"Ser"	0.599217221135029	3062	"No"
"84"	84	"Candida gorgasii"	"yHMPu5000041863_candida_gorgasii_160928"	"yHMPu5000041863_Candida_gorgasii"	"Candida_gorgasii"	"#FFd200"	173	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.601811594202899	3322	"No"
"85"	85	"Suhomyces pyralidae"	"yHMPu5000035011_candida_pyralidae_160519"	"yHMPu5000035011_Candida_pyralidae"	"Suhomyces_pyralidae"	"#FFd200"	203	"CUG-Ser1"	8	"Debaryomycetaceae"	"Suhomyces"	"Ser"	0.571455399061033	3043	"No"
"86"	86	"Candida tammaniensis"	"yHMPu5000041833_candida_tammaniensis_160928"	"yHMPu5000041833_Candida_tammaniensis"	"Candida_tammaniensis"	"#FFd200"	177	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.6003663003663	3278	"No"
"87"	87	"Suhomyces canberraensis"	"yHMPu5000035018_candida_canberraensis_160519"	"yHMPu5000035018_Candida_canberraensis"	"Suhomyces_canberraensis"	"#FFd200"	202	"CUG-Ser1"	8	"Debaryomycetaceae"	"Suhomyces"	"Ser"	0.565384615384615	3234	"No"
"88"	88	"Suhomyces emberorum"	"yHMPu5000035022_candida_emberorum_160519"	"yHMPu5000035022_Candida_emberorum"	"Suhomyces_emberorum"	"#FFd200"	201	"CUG-Ser1"	8	"Debaryomycetaceae"	"Suhomyces"	"Ser"	0.577703949796973	3130	"No"
"89"	89	"Teunomyces gatunensis"	"yHMPu5000035032_candida_gatunensis_160519"	"yHMPu5000035032_Candida_gatunensis"	"Teunomyces_gatunensis"	"#FFd200"	199	"CUG-Ser1"	8	"Debaryomycetaceae"	"Teunomyces"	"Ser"	0.565619579880516	2935	"No"
"90"	90	"Candida corydali"	"yHMPu5000034990_candida_corydali_160519"	"yHMPu5000034990_Candida_corydali"	"Candida_corydali"	"#FFd200"	206	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.578642229287451	3094	"No"
"91"	91	"Candida ascalaphidarum"	"yHMPu5000041855_candida_ascalaphidarum_160928"	"yHMPu5000041855_Candida_ascalaphidarum"	"Candida_ascalaphidarum"	"#FFd200"	175	"CUG-Ser1"	8	"Debaryomycetaceae"	"Candida"	"Ser"	0.623802730792745	3061	"No"
"92"	92	"Candida wancherniae"	"yHMPu5000041840_candida_wancherniae_160928"	"yHMPu5000041840_Candida_wancherniae"	"Candida_wancherniae"	"#FFd200"	176	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.592794302471722	2830	"No"
"93"	93	"Candida heveicola"	"yHMPu5000035707_candida_heveicola_160519"	"yHMPu5000035707_Candida_heveicola"	"Candida_heveicola"	"#FFd200"	184	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.609444551964389	3149	"No"
"94"	94	"Candida blattae"	"yHMPu5000035335_candida_blattae_160928"	"yHMPu5000035335_Candida_blattae"	"Candida_blattae"	"#FFd200"	192	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.61392289420793	3360	"No"
"95"	95	"Candida hawaiiana"	"yHMPu5000041743_candida_hawaiiana_160928"	"yHMPu5000041743_Candida_hawaiiana"	"Candida_hawaiiana"	"#FFd200"	180	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.593347851910513	2997	"No"
"96"	96	"Candida golubevii"	"yHMPu5000041862_candida_golubevii_160928"	"yHMPu5000041862_Candida_golubevii"	"Candida_golubevii"	"#FFd200"	174	"CUG-Ser1"	8	"Metschnikowiaceae"	"Candida"	"Ser"	0.562621444974386	3185	"No"
"97"	97	"Debaryomyces subglobosus"	"yHMPu5000041824_debaryomyces_subglobosus_160928"	"yHMPu5000041824_Debaryomyces_subglobosus"	"Debaryomyces_subglobosus"	"#FFd200"	179	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.571793002915452	3138	"No"
"98"	98	"Debaryomyces prosopidis"	"yHMPu5000041678_debaryomyces_prosopidis_160928"	"yHMPu5000041678_Debaryomyces_prosopidis"	"Debaryomyces_prosopidis"	"#FFd200"	183	"CUG-Ser1"	8	"Debaryomycetaceae"	"Debaryomyces"	"Ser"	0.541095890410959	3318	"No"
"99"	99	"Priceomyces castillae"	"yHMPu5000035297_priceomyces_castillae_160928"	"yHMPu5000035297_Priceomyces_castillae"	"Priceomyces_castillae"	"#FFd200"	195	"CUG-Ser1"	8	"Debaryomycetaceae"	"Priceomyces"	"Ser"	0.590917987864553	3019	"No"
"100"	100	"Ogataea polymorpha"	"ogataea_polymorpha"	"Ogataea_polymorpha"	"Ogataea_polymorpha"	"#FF8200"	73	"Pichiaceae"	7	"Pichiaceae"	"Ogataea"	"Leu"	0.617198666031444	2591	"No"
