"Strain"	"Model_name"	"Yield: EtOH/glc(g/g)"	"Yield: Biomass/Glc"	"Yield: glycerol/Biomass((g/gDW))"	"Yield: acetic acid/Biomass((g/gDW))"	"Glc/Biomass/h((mmol/gDW,h))"	"EtOH/Biomass/h((mmol/gDW,h))"	"Growth rate*: (1/h)"	"glycerol/Biomass/h((mmol/gDW,h))"	"acetic acid/Biomass/h((mmol/gDW,h))"	"phenotype"	"Ref"	"crabtree"
"19"	"Eremothecium coryli"	"Eremothecium_coryli"	0.12	0.7	"nan"	"nan"	1.38768622749173	0.651182982418059	0.158	"nan"	"nan"	"heat"	NA	"No"
"20"	"Eremothecium sinecaudum CBS 8199"	"Eremothecium_sinecaudum"	0	0.44	"nan"	"nan"	1.55420857479074	0	0.117	"nan"	"nan"	NA	NA	"No"
"21"	"Debaromyces vanrijiae CBS 3024"	"Debaromyces_vanrijiae"	0	0.64	"nan"	"nan"	3.55247674237883	0	0.409	"nan"	"nan"	NA	NA	"No"
"22"	"Dekkera bruxellensis CBS 2796"	"Dekkera_bruxellensis"	0.26	0.23	"nan"	"nan"	3.55247674237883	3.690036900369	0.147	"nan"	"nan"	"ethanol"	NA	"Yes"
"23"	"Pichia pastoris Y1294"	"Komagataella_pastoris"	0	0.5	"nan"	"nan"	2.8863873531828	0.434121988278706	0.268	"nan"	"nan"	"methanol ultilization"	NA	"No"
"24"	"Schizosaccharomyces pombe Eg282"	"Schizosaccharomyces_pombe"	0.35	0.15	"nan"	"nan"	4.55161082617287	6.07770783590189	0.122	"nan"	"nan"	NA	NA	"Yes"
"25"	"C. albicans"	"Candida_albicans"	0.33	0.09	"0"	"0"	7.94	2.76	0.47	"0"	"0"	"pathogen"	NA	"No"
"26"	"K. phaffii - control
"	"K. phaffii - control
"	0.03	0.51	"nan"	"nan"	2.94444444444444	0	0.27	NA	NA	NA	"NATURE COMMUNICATIONS | DOI: 10.1038/s41467-018-07430-4"	"No"
"27"	"K. phaffii GAL4-like overexpression"	"K. phaffii GAL4-like overexpression"	0.31	0.24	"nan"	"nan"	5.05555555555556	6.08695652173913	0.22	NA	NA	NA	"NATURE COMMUNICATIONS | DOI: 10.1038/s41467-018-07430-4"	"Yes"
"28"	"S. bayanus var uvarum"	"S. bayanus var uvarum"	0.348484848484848	0.13	"0.5"	"0.04"	8.8	12	0.22	NA	NA	NA	"FEMSYeastRes11(2011)263–272"	"Yes"
"29"	"S. exiguus"	"S. exiguus"	0.362037037037037	0.18	"0.3"	"0.37"	7.2	10.2	0.28	NA	NA	NA	NA	"Yes"
"30"	"K. thermotolerans"	"K. thermotolerans"	0.251499118165785	0.27	"0.1"	"0.41"	6.3	6.2	0.3	NA	NA	NA	"FEMSYeastRes11(2011)263–272"	"Yes"
"31"	"Y. lipolytica"	"Y. lipolytica"	0	0.51	"0"	"0"	4.2	0	0.46	NA	NA	NA	"FEMSYeastRes11(2011)263–272"	"No"
"32"	"P. angusta"	"P. angusta"	0	0.52	"0"	"0"	4.4	0	0.42	NA	NA	NA	"FEMSYeastRes11(2011)263–272"	"No"
"33"	"C. rugosa"	"C. rugosa"	0	0.79	"0"	"0"	2.8	0	0.45	NA	NA	NA	"FEMSYeastRes11(2011)263–272"	"No"
