"clade"	"species"	"ura1_original"	"ura1_HGT"	"crabtree positive"	"WGD"
"Saccharomycetaceae"	"Saccharomyces_kudriavzevii"	0	1	"1"	"Yes"
"Saccharomycetaceae"	"Saccharomyces_mikatae"	0	1	"1"	"Yes"
"Saccharomycetaceae"	"Saccharomyces_paradoxus"	0	1	"1"	"Yes"
"Saccharomycetaceae"	"Saccharomyces_uvarum"	0	1	"1"	"Yes"
"CUG-Ser2"	"Saccharomycopsis_malanga"	1	0	"NaN"	"No"
"Ascomycota"	"Saitoella_complicata"	1	1	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Saprochaete_clavata"	1	0	"0"	"No"
"CUG-Ser1"	"Scheffersomyces_lignosus"	1	0	"NaN"	"No"
"CUG-Ser1"	"Scheffersomyces_stipitis"	1	0	"0"	"No"
"Ascomycota"	"Schizosaccharomyces_pombe"	1	0	"1"	"No"
"Ascomycota"	"Sclerotinia_sclerotiorum"	0	1	"NaN"	"No"
"CUG-Ser1"	"Spathaspora_arborariae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Spathaspora_girioi"	1	0	"NaN"	"No"
"CUG-Ser1"	"Spathaspora_gorwiae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Spathaspora_hagerdaliae"	1	0	"NaN"	"No"
"CUG-Ser1"	"Spathaspora_passalidarum"	1	0	"0"	"No"
"Sporopachydermia"	"Sporopachydermia_quercuum"	1	0	"NaN"	"No"
"Ascomycota"	"Stagonospora_nodorum"	0	1	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Starmerella_bombicola_JCM9596"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"Sugiyamaella_lignohabitans"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"Tetrapisispora_blattae"	1	1	"NaN"	"Yes"
"Saccharomycetaceae"	"Tetrapisispora_phaffii"	1	1	"1"	"Yes"
"Trigonopsidaceae"	"Tortispora_caseinolytica"	1	0	"0"	"No"
"Saccharomycetaceae"	"Torulaspora_delbrueckii"	1	1	"1"	"No"
"Saccharomycetaceae"	"Vanderwaltozyma_polyspora"	1	0	"1"	"Yes"
"CUG-Ser1"	"Wickerhamia_fluorescens"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Wickerhamiella_domercqiae"	1	0	"0"	"No"
"Phaffomycetaceae"	"Wickerhamomyces_anomalus"	1	0	"0"	"No"
"Phaffomycetaceae"	"Wickerhamomyces_ciferrii"	1	0	"NaN"	"No"
"Ascomycota"	"Xylona_heveae"	0	1	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"Yarrowia_deformans"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"Yarrowia_keelungensis"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"Yarrowia_lipolytica"	1	0	"0"	"No"
"Saccharomycetaceae"	"Zygosaccharomyces_bailii"	1	1	"1"	"No"
"Saccharomycetaceae"	"Zygosaccharomyces_rouxii"	1	1	"1"	"No"
"Saccharomycetaceae"	"yHAB132_Kazachstania_martiniae"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB133_Kazachstania_unispora"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB134_Kazachstania_turicensis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB136_Kazachstania_bromeliacearum"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB143_Kazachstania_siamensis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB147_Kazachstania_taianensis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB148_Kazachstania_intestinalis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB153_Kazachstania_rosinii"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB154_Kazachstania_transvaalensis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB155_Kazachstania_spencerorum"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB158_Kazachstania_viticola"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB159_Kazachstania_solicola"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB160_Kazachstania_kunashirensis"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB164_Kazachstania_aerobia"	0	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHAB166_Kazachstania_yakushimaensis"	0	1	"NaN"	"Yes"
"Pichiaceae"	"yHMPu5000026124_Ogataea_henricii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000026137_Ambrosiozyma_ambrosiae"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000026142_Citeromyces_matritensis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000026145_Ambrosiozyma_vanderkliftii"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000026152_Torulaspora_franciscae"	1	1	"1"	"No"
"Pichiaceae"	"yHMPu5000026197_Brettanomyces_custersianus"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000026256_Zygotorulaspora_mrakii"	1	1	"NaN"	"No"
"Pichiaceae"	"yHMPu5000026274_Komagataella_populi"	1	0	"NaN"	"No"
"Phaffomycetaceae"	"yHMPu5000034594_Starmera_quercuum"	1	0	"NaN"	"No"
"Phaffomycetaceae"	"yHMPu5000034597_Candida_stellimalicola"	1	0	"NaN"	"No"
"Sporopachydermia"	"yHMPu5000034604_Sporopachydermia_lactativora"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034605_Spencermartinsiella_europaea"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034606_Priceomyces_medius"	1	0	"0"	"No"
"CUG-Ser2"	"yHMPu5000034607_Saccharomycopsis_capsularis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034610_Saturnispora_hagleri"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034611_Saturnispora_mendoncae"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034612_Saturnispora_saitoi"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034613_Saturnispora_serradocipensis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034614_Saturnispora_silvae"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034615_Saturnispora_zaruensis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034622_Pichia_occidentalis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034623_Pichia_norvegensis"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034624_Pichia_nakasei"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034625_Pichia_kudriavzevii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034627_Pichia_heedii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034629_Pichia_exigua"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034631_Martiniozyma_abiesophila"	1	0	"NaN"	"No"
"CUG-Ser1"	"yHMPu5000034632_Candida_athensensis"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034635_Nadsonia_fulvescens"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034636_Ogataea_nitratoaversa"	1	0	"NaN"	"No"
"Pichiaceae"	"yHMPu5000034637_Ogataea_populiabae"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034643_Candida_schatavii"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034646_Wickerhamiella_cacticola"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034648_Candida_restingae"	1	0	"NaN"	"No"
"CUG-Ser1"	"yHMPu5000034654_Aciculoconidium_aculeatum"	1	0	"NaN"	"No"
"Trigonopsidaceae"	"yHMPu5000034655_Botryozyma_nematodophila"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034660_Diddensiella_caesifluorescens"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034661_Dipodascus_albidus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034665_Kodamaea_laetipori"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034667_Blastobotrys_serpentis"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034669_Blastobotrys_raffinofermentans"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034670_Blastobotrys_proliferans"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034671_Blastobotrys_peoriensis"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034673_Blastobotrys_nivea"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034674_Blastobotrys_muscicola"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034675_Blastobotrys_mokoenaii"	1	0	"NaN"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034681_Blastobotrys_americana"	1	0	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000034709_Kluyveromyces_aestuarii"	1	1	"0"	"No"
"Saccharomycetaceae"	"yHMPu5000034710_Kluyveromyces_dobzhanskii"	1	1	"1"	"No"
"Lipomycetaceae"	"yHMPu5000034742_Lipomyces_suomiensis"	1	0	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034748_Lipomyces_oligophaga"	1	0	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034749_Lipomyces_mesembrius"	1	0	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034754_Lipomyces_arxii"	1	0	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034757_Lipomyces_doorenjongii"	0	1	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034758_Lipomyces_japonicus"	0	1	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034760_Lipomyces_kononenkoae"	1	0	"0"	"No"
"Lipomycetaceae"	"yHMPu5000034761_Lipomyces_lipofer"	1	0	"0"	"No"
"Saccharomycetaceae"	"yHMPu5000034862_Zygotorulaspora_florentina"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000034866_Zygosaccharomyces_bisporus"	1	1	"NaN"	"No"
"Saccharomycetaceae"	"yHMPu5000034875_Tetrapisispora_fleetii"	1	1	"NaN"	"Yes"
"Saccharomycetaceae"	"yHMPu5000034876_Tetrapisispora_iriomotensis"	1	1	"1"	"Yes"
"Saccharomycetaceae"	"yHMPu5000034877_Tetrapisispora_namnaonensis"	1	1	"0"	"Yes"
"Saccharomycetaceae"	"yHMPu5000034881_Torulaspora_pretoriensis"	1	1	"0"	"No"
"CUG-Ala"	"yHMPu5000034883_Peterozyma_xylosa"	1	0	"0"	"No"
"CUG-Ala"	"yHMPu5000034884_Peterozyma_toletana"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034885_Ogataea_zsoltii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034886_Ogataea_trehalophila"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034887_Ogataea_trehaloabstinens"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034890_Ogataea_ramenticola"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034891_Ogataea_pini"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034892_Ogataea_pilisensis"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034893_Ogataea_philodendra"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034897_Ogataea_glucozyma"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034899_Ogataea_kodamae"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034901_Ogataea_methylivora"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034902_Ogataea_minuta"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034903_Ogataea_naganishii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034904_Ogataea_nonfermentans"	1	0	"0"	"No"
"CUG-Ala"	"yHMPu5000034918_Nakazawaea_holstii"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034932_Kuraishia_ogatae"	0	1	"0"	"No"
"Pichiaceae"	"yHMPu5000034933_Kuraishia_molischiana"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034939_Komagataella_pseudopastoris"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034946_Ambrosiozyma_oregonensis"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034947_Ambrosiozyma_philentoma"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034950_Citeromyces_hawaiiensis"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000034952_Citeromyces_siamensis"	1	0	"0"	"No"
"Saccharomycodaceae"	"yHMPu5000034957_Hanseniaspora_osmophila"	1	0	"0"	"No"
"Saccharomycodaceae"	"yHMPu5000034963_Hanseniaspora_clermontiae"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000034967_Candida_freyschussii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034973_Danielozyma_ontarioensis"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000034974_Deakozyma_indianensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000034978_Cyberlindnera_mrakii"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000034979_Cyberlindnera_misumaiensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034986_Candida_oregonensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034988_Candida_fructus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034990_Candida_corydali"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034998_Cephaloascus_albidus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000034999_Cephaloascus_fragrans"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035011_Candida_pyralidae"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035018_Candida_canberraensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035022_Candida_emberorum"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035031_Candida_kruisii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035032_Candida_gatunensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035033_Candida_cretensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035037_Candida_montana"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035040_Ambrosiozyma_maleeae"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035044_Barnettozyma_californica"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035045_Barnettozyma_hawaiiensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035046_Barnettozyma_populi"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035047_Barnettozyma_pratensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035048_Barnettozyma_salicaria"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035242_Zygoascus_ofunaensis"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035243_Zygoascus_meyerae"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035244_Candida_incommunis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035252_Yamadazyma_nakazawae"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035261_Candida_ponderosae"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035268_Wickerhamomyces_hampshirensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035271_Wickerhamomyces_bovis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035274_Wickerhamomyces_alni"	1	0	"0"	"No"
"Trigonopsidaceae"	"yHMPu5000035279_Tortispora_starmeri"	1	0	"0"	"No"
"Trigonopsidaceae"	"yHMPu5000035282_Trigonopsis_vinaria"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035286_Candida_azyma"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035296_Priceomyces_carsonii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035297_Priceomyces_castillae"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035301_Pichia_terricola"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035302_Candida_fragi"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035318_Hyphopichia_heimii"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035325_Cyberlindnera_petersonii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035335_Candida_blattae"	1	0	"0"	"No"
"Saccharomycetaceae"	"yHMPu5000035629_Yueomyces_sinensis"	1	0	"0"	"Yes"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035633_Candida_hispaniensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035639_Wickerhamomyces_canadensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035640_Yamadazyma_philogaea"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035641_Yamadazyma_scolyti"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035643_Yarrowia_bubula"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035645_Yarrowia_divulgata"	1	0	"0"	"No"
"Trigonopsidaceae"	"yHMPu5000035650_Trigonopsis_variabilis"	1	0	"0"	"No"
"Saccharomycetaceae"	"yHMPu5000035651_Torulaspora_microellipsoides"	1	1	"0"	"No"
"Saccharomycetaceae"	"yHMPu5000035652_Torulaspora_maleeae"	1	1	"0"	"No"
"Trigonopsidaceae"	"yHMPu5000035654_Tortispora_ganteri"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035658_Starmera_amethionina"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035659_Saturnispora_dispora"	1	0	"0"	"No"
